régionCNC,N° auto,nom,région administrative,adresse,code INSEE,commune,population de la commune,DEP,N°UU,unité urbaine,population unité urbaine,situation géographique,écrans,fauteuils,semaines d'activité,séances,entrées 2022,entrées 2021,évolution entrées,tranche d'entrées,programmateur,AE,catégorie Art et Essai,label Art et Essai,genre,multiplexe,zone de la commune,nombre de films programmés,nombre de films inédits,nombre de films en semaine 1,PdM en entrées des films français,PdM en entrées des films américains,PdM en entrées des films européens,PdM en entrées des autres films,films Art et Essai,PdM en entrées des films Art et Essai,latitude,longitude,geolocalisation
2,117921,LA COUPOLE,ILE-DE-FRANCE,RUE JEAN FRANCOIS MILLET,77122,Combs-la-Ville,21801,77,851,Paris,10949158,03-Grande couronne,1,236,41,450,11160,5536,101.5895954,De 10 à 20 000 entrées,,,NON,,FIXE,,B,136,98,2,56.14362578,26.56198529,13.59393873,3.700450203,57,49.61018996,48.659579,2.566711,"48.659579, 2.566711"
2,120963,THEATRE DU CORMIER,ILE-DE-FRANCE,123 RUE DE SAINT-GERMAIN,95176,Cormeilles-en-Parisis,26297,95,851,Paris,10949158,03-Grande couronne,1,307,40,196,8623,3323,159.4944327,De 5 à 10 000 entrées,,,NON,,FIXE,,B,171,120,1,49.20597298,28.99976298,9.208343209,12.58592083,83,42.91301256,48.959824,2.189151,"48.959824, 2.189151"
2,128541,CINEMA DU PALAIS,ILE-DE-FRANCE,40 ALLEE PARMENTIER,94028,Créteil,92984,94,851,Paris,10949158,02-Petite Couronne,3,490,6,430,5746,36917,-84.43535499,De 5 à 10 000 entrées,,,C,RDJPPR,FIXE,,B,48,15,9,77.90546803,9.52734013,10.65801668,1.909175162,42,93.56811863,48.786063,2.444158,"48.786063, 2.444158"
2,147084,CENTRE DES ARTS,ILE-DE-FRANCE,"12-16, RUE DE LA LIBERATION",95210,Enghien-les-Bains,11574,95,851,Paris,10949158,03-Grande couronne,1,320,46,389,14469,5818,148.6937092,De 10 à 20 000 entrées,,,C,JPPR,FIXE,,B,138,49,3,41.32247431,34.50649602,8.580570099,15.59045957,109,80.71553229,48.971934,2.305204,"48.971934, 2.305204"
2,148321,SALLE SERGE GAINSBOURG,ILE-DE-FRANCE,RUE DU GENERAL JULIEN,93031,Épinay-sur-Seine,54569,93,851,Paris,10949158,02-Petite Couronne,1,180,22,69,3654,2006,82.15353938,De 2 à 5 000 entrées,,,NON,,FIXE,,B,14,0,0,47.63296318,46.52250146,3.039158387,2.805376973,14,100,48.95411,2.312115,"48.95411, 2.312115"
2,164112,LE KOSMOS,ILE-DE-FRANCE,243TER AVENUE DE LA REPUBLIQUE,94033,Fontenay-sous-Bois,51807,94,851,Paris,10949158,02-Petite Couronne,1,190,51,1021,29770,16404,81.4801268,De 20 à 30 000 entrées,,,C,JP,FIXE,,B,194,130,5,63.64300447,15.89034032,11.97146786,8.49518735,163,80.59900309,48.852329,2.461111,"48.852329, 2.461111"
2,168193,CINE HENRI LANGLOIS,ILE-DE-FRANCE,32 BIS RUE DE LA STATION,95252,Franconville,37494,95,851,Paris,10949158,03-Grande couronne,2,518,53,3181,39193,15542,152.1747523,De 30 à 40 000 entrées,,,C,RDJPPR,FIXE,,B,324,227,39,52.01935867,27.80969632,14.70862933,5.462315682,199,37.91356522,48.988437,2.232576,"48.988437, 2.232576"
2,169572,M J C,ILE-DE-FRANCE,2 AV DU PARC DES SPORTS,94034,Fresnes,28679,94,851,Paris,10949158,02-Petite Couronne,1,158,41,285,11779,5850,101.3504274,De 10 à 20 000 entrées,,,NON,,FIXE,,B,46,17,2,30.50383352,36.88389923,28.10788609,4.504381161,25,57.91347207,48.752796,2.313077,"48.752796, 2.313077"
2,173332,JACQUES BREL A,ILE-DE-FRANCE,PLACE DE L'HOTEL DE VILLE,95268,Garges-lès-Gonesse,43294,95,851,Paris,10949158,03-Grande couronne,1,225,44,742,12659,5324,137.7723516,De 10 à 20 000 entrées,,,C,JP,FIXE,,B,153,107,2,42.86441368,26.00773616,12.53053746,18.5973127,72,60.55578176,48.971945,2.399817,"48.971945, 2.399817"
2,179852,CINE THEATRE JACQUES PREVERT,ILE-DE-FRANCE,PLACE AIME-CESAIRE,95277,Gonesse,25950,95,851,Paris,10949158,03-Grande couronne,1,223,50,1350,24033,13633,76.28548375,De 20 à 30 000 entrées,,,C,JPPR,FIXE,,B,318,219,5,55.2128745,20.38308135,9.289490771,15.11455338,208,61.55736945,48.999982,2.428131,"48.999982, 2.428131"
2,204534,SALLE PIERRE ET JACQUES PREVERT,ILE-DE-FRANCE,RUE DE PARIS,94042,Joinville-le-Pont,19278,94,851,Paris,10949158,02-Petite Couronne,1,300,44,223,11347,5086,123.1026347,De 10 à 20 000 entrées,,,NON,,FIXE,,B,140,113,0,67.63032733,11.76909447,17.35521776,3.24536044,62,37.53613728,48.816711,2.468136,"48.816711, 2.468136"
2,244715,LE CHAPLIN,ILE-DE-FRANCE,PLACE MENDES FRANCE,78361,Mantes-la-Jolie,44114,78,851,Paris,10949158,03-Grande couronne,1,300,35,129,7936,3058,159.5160235,De 5 à 10 000 entrées,,,NON,,FIXE,,B,45,16,2,70.45542511,6.889433621,14.46264998,8.192491291,41,97.25196749,49.000101,1.683456,"49.000101, 1.683456"
